17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Starting state machine
17:55:06.040 -> 
17:55:06.040 -> 
17:55:06.040 -> Initializing SD card ... done!
17:55:06.771 -> Next available file is 00075.txt
17:55:06.771 -> Creating file 00075.txt ... done!
17:55:06.804 -> Transitioning to state INITIALIZE
17:55:06.804 -> Transitioning to state 12V_REG_ENABLE
17:55:06.804 -> Transitioning to state DELAY [500]
17:55:07.302 -> Transitioning to state ELECTROMETER_ENABLE
17:55:07.302 -> Transitioning to state DELAY [3000]
17:55:15.002 -> 125068, 4, 8979, 316831, 618, 512.671, 492, 0.797
17:55:15.135 -> 125028, 5, 9104, 315339, 615, 512.747, 581, 0.946
17:55:15.268 -> 125024, 6, 9229, 316303, 617, 512.647, 455, 0.739
17:55:15.401 -> 125108, 7, 9354, 315787, 616, 512.641, 414, 0.673
17:55:15.401 -> Transitioning to state COAST_TRIGGER_VERIFY
17:55:15.401 -> Transitioning to state DELAY [1000]
17:55:15.500 -> 125008, 0, 9479, 316315, 617, 512.666, 458, 0.744
17:55:15.633 -> 125116, 1, 9604, 316229, 617, 512.527, 341, 0.554
17:55:15.766 -> 125088, 2, 9729, 316839, 618, 512.684, 483, 0.783
17:55:15.898 -> 125012, 3, 9854, 316268, 617, 512.590, 461, 0.748
17:55:15.998 -> 125080, 4, 9979, 316317, 617, 512.669, 495, 0.804
17:55:16.131 -> 125084, 5, 10104, 316355, 617, 512.731, 553, 0.898
17:55:16.263 -> 125048, 6, 10229, 316789, 618, 512.604, 433, 0.702
17:55:16.396 -> 125068, 7, 10354, 316322, 617, 512.678, 501, 0.813
17:55:16.396 -> Transitioning to state HV_REG_ENABLE
17:55:16.396 -> Transitioning to state DELAY [15000]
17:55:16.495 -> 125008, 0, 10479, 316310, 617, 512.658, 475, 0.771
17:55:16.628 -> 125084, 1, 10604, 315761, 616, 512.599, 386, 0.628
17:55:16.761 -> 125120, 2, 10729, 316829, 618, 512.668, 464, 0.752
17:55:16.893 -> 125040, 3, 10855, 316784, 618, 512.596, 418, 0.677
17:55:16.993 -> 125016, 4, 10980, 316296, 617, 512.636, 452, 0.734
17:55:17.126 -> 125096, 5, 11105, 316323, 617, 512.679, 461, 0.748
17:55:17.259 -> 125036, 6, 11230, 316274, 617, 512.600, 397, 0.644
17:55:17.392 -> 125120, 7, 11355, 316282, 617, 512.613, 408, 0.662
17:55:17.492 -> 125036, 0, 11480, 316809, 618, 512.636, 471, 0.763
17:55:17.624 -> 125096, 1, 11604, 316265, 617, 512.585, 396, 0.643
17:55:17.757 -> 125044, 2, 11730, 316308, 617, 512.655, 458, 0.744
17:55:17.890 -> 125020, 3, 11855, 315784, 616, 512.636, 415, 0.675
17:55:18.023 -> 125100, 4, 11980, 316301, 617, 512.644, 443, 0.719
17:55:18.123 -> 125076, 5, 12105, 316856, 618, 512.712, 511, 0.828
17:55:18.255 -> 125036, 6, 12230, 316281, 617, 512.611, 424, 0.688
17:55:18.388 -> 125020, 7, 12355, 316303, 617, 512.647, 453, 0.735
17:55:18.521 -> 125136, 0, 12480, 316296, 617, 512.635, 457, 0.742
17:55:18.621 -> 124980, 1, 12605, 316268, 617, 512.590, 399, 0.648
17:55:18.754 -> 125088, 2, 12731, 316300, 617, 512.642, 443, 0.719
17:55:18.887 -> 125084, 3, 12856, 316264, 617, 512.583, 409, 0.664
17:55:18.986 -> 125088, 4, 12981, 316297, 617, 512.637, 429, 0.696
17:55:19.119 -> 125068, 5, 13106, 316325, 617, 512.682, 485, 0.787
17:55:19.252 -> 125060, 6, 13231, 316305, 617, 512.650, 413, 0.670
17:55:19.385 -> 124980, 7, 13356, 316801, 618, 512.623, 467, 0.757
17:55:19.485 -> 125144, 0, 13480, 316317, 617, 512.669, 508, 0.825
17:55:19.618 -> 125040, 1, 13605, 316774, 618, 512.579, 400, 0.648
17:55:19.750 -> 125072, 2, 13731, 316327, 617, 512.686, 476, 0.773
17:55:19.883 -> 125004, 3, 13856, 316243, 617, 512.549, 377, 0.612
17:55:20.016 -> 125072, 4, 13981, 316289, 617, 512.624, 425, 0.690
17:55:20.116 -> 125052, 5, 14106, 316345, 617, 512.715, 507, 0.823
17:55:20.249 -> 125152, 6, 14231, 316264, 617, 512.583, 376, 0.610
